course_id,name,rating,reviews,Platform,actual_sentiment,preprocessed,flattened_reviews,sentiment
1699208,Intermediate Android Development and Kotlin,3.5,for me since English is my second language it's kind of fast-talking but you can understand perfectly just need to rewind an little,Udemy,0,"['since', 'english', 'second', 'language', 'kind', 'fast', 'talking', 'understand', 'perfectly', 'need', 'rewind', 'little']",since english second language kind fast talking understand perfectly need rewind little,Positive
737700,The Complete Node.js Developer Course (3rd Edition),4.0,"The course is perfect for someone who wants to write a quick project to get their feet wet beyond the ""Hello world"" example. That said this course is not for the Xcode beginner... ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['course', 'perfect', 'someone', 'want', 'write', 'quick', 'project', 'get', 'foot', 'wet', 'beyond', 'hello', 'world', 'example', 'said', 'course', 'xcode', 'beginner']",course perfect someone want write quick project get foot wet beyond hello world example said course xcode beginner,Positive
1064104,Ionic 3 - Tips & Tricks for Developing Ionic Apps,4.0,good one for start up level,Udemy,1,"['good', 'one', 'start', 'level']",good one start level,Positive
infrastructure-investing,Financing and Investing in Infrastructure,5.0,Would like to have lab in   Active directory. More hands on. I felt this was the hardest section to understand.,Coursera,1,"['would', 'like', 'lab', 'active', 'directory', 'hand', 'felt', 'hardest', 'section', 'understand']",would like lab active directory hand felt hardest section understand,Positive
speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone",5.0,Thank you for a great introduction to Graphic Arts and helping and old student reach his goals and dreams to work in the Artistic field. CalArts is awesome and well worth the cost.,Coursera,1,"['thank', 'great', 'introduction', 'graphic', 'art', 'helping', 'old', 'student', 'reach', 'goal', 'dream', 'work', 'artistic', 'field', 'calarts', 'awesome', 'well', 'worth', 'cost']",thank great introduction graphic art helping old student reach goal dream work artistic field calarts awesome well worth cost,Positive
866196,The complete JavaScript developer: MEAN stack zero-to-hero,4.0,"good quality, to early to give better rating",Udemy,1,"['good', 'quality', 'early', 'give', 'better', 'rating']",good quality early give better rating,Positive
746120,Scratch Game Programming for Young Adults,4.0,simple and easy explanation by the instructor.,Udemy,1,"['simple', 'easy', 'explanation', 'instructor']",simple easy explanation instructor,Positive
832862,Pre-Programming: Everything you need to know before you code,5.0,"Really good English, explained really clearly.",Udemy,1,"['really', 'good', 'english', 'explained', 'really', 'clearly']",really good english explained really clearly,Positive
finding-purpose-and-meaning-in-life,Finding Purpose and Meaning In Life: Living for What Matters Most,5.0,This course is so good. I learned a overview that I hoped.,Coursera,1,"['course', 'good', 'learned', 'overview', 'hoped']",course good learned overview hoped,Positive
learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects,5.0,For a beginner course it is slightly time consuming but very interesting,Coursera,1,"['beginner', 'course', 'slightly', 'time', 'consuming', 'interesting']",beginner course slightly time consuming interesting,Positive
neural-networks-deep-learning,Neural Networks and Deep Learning,5.0,challenging but rewarding,Coursera,1,"['challenging', 'rewarding']",challenging rewarding,Positive
1004034,Become a Good Matlab Programmer in 30 days,4.5,"The course is so good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['course', 'good']",course good,Positive
962556,Informatica Tutorial: Beginner to Expert Level,5.0,"Good explanation, very clear",Udemy,1,"['good', 'explanation', 'clear']",good explanation clear,Positive
data-scientists-tools,The Data Scientists Toolbox,5.0,"It was a significant learning experience and i surely did learn some new set of skills that would be really helpful in advancing my psychological skill set. the course is relevant in its content, syllabus, study material, and moreover the resources and insight offered by George Everly. ",Coursera,1,"['significant', 'learning', 'experience', 'surely', 'learn', 'new', 'set', 'skill', 'would', 'really', 'helpful', 'advancing', 'psychological', 'skill', 'set', 'course', 'relevant', 'content', 'syllabus', 'study', 'material', 'moreover', 'resource', 'insight', 'offered', 'george', 'everly']",significant learning experience surely learn new set skill would really helpful advancing psychological skill set course relevant content syllabus study material moreover resource insight offered george everly,Positive
neural-networks-deep-learning,Neural Networks and Deep Learning,5.0,Cool course! In a plain language about such an exotic subject if you are about to find yourself in something not specific and new as myself. Hardly recommend!,Coursera,1,"['cool', 'course', 'plain', 'language', 'exotic', 'subject', 'find', 'something', 'specific', 'new', 'hardly', 'recommend']",cool course plain language exotic subject find something specific new hardly recommend,Positive
python-crash-course,Crash Course on Python,4.0,Awesome foundation course to start your Fintech journey...,Coursera,1,"['awesome', 'foundation', 'course', 'start', 'fintech', 'journey']",awesome foundation course start fintech journey,Positive
photography,Seeing Through Photographs,5.0,The concise descriptions of the lecturer helped me understand the concepts very easily. I am also able to appreciate the value of vectorization in computing. Thanks!!!,Coursera,1,"['concise', 'description', 'lecturer', 'helped', 'understand', 'concept', 'easily', 'also', 'able', 'appreciate', 'value', 'vectorization', 'computing', 'thanks']",concise description lecturer helped understand concept easily also able appreciate value vectorization computing thanks,Positive
53670,Complete Step By Step Java For Testers,4.0,Really good information. Couldn't be happier!,Udemy,1,"['really', 'good', 'information', 'happier']",really good information happier,Positive
neural-networks-deep-learning,Neural Networks and Deep Learning,5.0,"Concise, well-presented course which will get you thinking about how and why ideas spread in social networks. (However, given its brevity, the price of certificates is excessive. Take it for interest and information, not for the certificate.)",Coursera,1,"['concise', 'well', 'presented', 'course', 'get', 'thinking', 'idea', 'spread', 'social', 'network', 'however', 'given', 'brevity', 'price', 'certificate', 'excessive', 'take', 'interest', 'information', 'certificate']",concise well presented course get thinking idea spread social network however given brevity price certificate excessive take interest information certificate,Positive
ai-for-everyone,AI For Everyone,5.0,"Appropriate content, very easy to follow and not get lost in the formulations. You end up with a very clear idea of both the concept and the methodology for its application.",Coursera,1,"['appropriate', 'content', 'easy', 'follow', 'get', 'lost', 'formulation', 'end', 'clear', 'idea', 'concept', 'methodology', 'application']",appropriate content easy follow get lost formulation end clear idea concept methodology application,Positive
1062700,iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,5.0,Fantastic course. I am into TDD but this course gave me the better understanding of XP process.,Udemy,1,"['fantastic', 'course', 'tdd', 'course', 'gave', 'better', 'understanding', 'xp', 'process']",fantastic course tdd course gave better understanding xp process,Positive
364426,Learn By Example: Scala,5.0,"The game is Cocos2D based and not SpriteKit based (the framework of apple) which is not good for me, and not clear in the description. The code is old, with a lot of warnings and hard to understand and modify.",Udemy,1,"['game', 'coco', 'based', 'spritekit', 'based', 'framework', 'apple', 'good', 'clear', 'description', 'code', 'old', 'lot', 'warning', 'hard', 'understand', 'modify']",game coco based spritekit based framework apple good clear description code old lot warning hard understand modify,Positive
learn-chinese,Chinese for Beginners,5.0,"The data shown in the lecture and even the lecture itself is dated back to 2012.  Kindly upload an updated lecture with new rules, recent data, recent examples. It would be of great help.",Coursera,1,"['data', 'shown', 'lecture', 'even', 'lecture', 'dated', 'back', 'kindly', 'upload', 'updated', 'lecture', 'new', 'rule', 'recent', 'data', 'recent', 'example', 'would', 'great', 'help']",data shown lecture even lecture dated back kindly upload updated lecture new rule recent data recent example would great help,Positive
919038,Ultimate AWS Certified Developer Associate 2019 - NEW!,5.0,"So far, the quality is good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['far', 'quality', 'good']",far quality good,Positive
1304268,Learn Unit Testing with NUnit and C#,2.0,Seems to be more than perfect!,Udemy,-1,"['seems', 'perfect']",seems perfect,Positive
python-databases,Using Databases with Python,5.0,This is a very good course for those who want to learn python from basic.All things are explained very well,Coursera,1,"['good', 'course', 'want', 'learn', 'python', 'basic', 'thing', 'explained', 'well']",good course want learn python basic thing explained well,Positive
introduction-psychology,Introduction to Psychology,5.0,"A comprehensive introduction to Excel. Being self taught, there are a lot elements to Excel I do not know about. This course has instructed me on a foundational level. As a result, I understand this application so much better and with much more confidence.",Coursera,1,"['comprehensive', 'introduction', 'excel', 'self', 'taught', 'lot', 'element', 'excel', 'know', 'course', 'instructed', 'foundational', 'level', 'result', 'understand', 'application', 'much', 'better', 'much', 'confidence']",comprehensive introduction excel self taught lot element excel know course instructed foundational level result understand application much better much confidence,Positive
837354,Kotlin for Android: Beginner to Advanced,5.0,Excelent course! The instructor gives good details about how microservices works and how to implement them.,Udemy,1,"['excelent', 'course', 'instructor', 'give', 'good', 'detail', 'microservices', 'work', 'implement']",excelent course instructor give good detail microservices work implement,Positive
python-for-data-visualization,Data Visualization with Python,3.0,Very interesting and inspiring views of what we can change while managing our companies. Willing to put into practice this ideas!,Coursera,0,"['interesting', 'inspiring', 'view', 'change', 'managing', 'company', 'willing', 'put', 'practice', 'idea']",interesting inspiring view change managing company willing put practice idea,Positive
nlp-sequence-models,Sequence Models,4.0,That was the best course i ever take. I have learned a lot. Highly recommend if you are interesting with psychology.,Coursera,1,"['best', 'course', 'ever', 'take', 'learned', 'lot', 'highly', 'recommend', 'interesting', 'psychology']",best course ever take learned lot highly recommend interesting psychology,Positive
probability-intro,Introduction to Probability and Data with R,4.0,This course was really very helpful to learn MATLAB and Mike sir really explained every bit very clearly and precisely.,Coursera,1,"['course', 'really', 'helpful', 'learn', 'matlab', 'mike', 'sir', 'really', 'explained', 'every', 'bit', 'clearly', 'precisely']",course really helpful learn matlab mike sir really explained every bit clearly precisely,Positive
r-programming,R Programming,4.0,"The course is very good and the content is not  much elusive and can be grasped very easily. The peer review is not fair enough some of the peers do not understand the rubrics properly and will not grade accordingly , as a rest of that I felt a bit discouraged since I didn't get fair grades for my hardwork.",Coursera,1,"['course', 'good', 'content', 'much', 'elusive', 'grasped', 'easily', 'peer', 'review', 'fair', 'enough', 'peer', 'understand', 'rubric', 'properly', 'grade', 'accordingly', 'rest', 'felt', 'bit', 'discouraged', 'since', 'get', 'fair', 'grade', 'hardwork']",course good content much elusive grasped easily peer review fair enough peer understand rubric properly grade accordingly rest felt bit discouraged since get fair grade hardwork,Positive
python-data,Python Data Structures,5.0,Good course with learning videos and lab session on google cloud platform.,Coursera,1,"['good', 'course', 'learning', 'video', 'lab', 'session', 'google', 'cloud', 'platform']",good course learning video lab session google cloud platform,Positive
1165096,Learn How To Code: Google's Go (golang) Programming Language,5.0,pretty good so far.,Udemy,1,"['pretty', 'good', 'far']",pretty good far,Positive
linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra,4.0,I had a really better time learning this course. It helped me so much .,Coursera,1,"['really', 'better', 'time', 'learning', 'course', 'helped', 'much']",really better time learning course helped much,Positive
802808,Part 1 Foundation Enterprise Architect Certification Trng,4.0,Pretty good introduction of Perl programming,Udemy,1,"['pretty', 'good', 'introduction', 'perl', 'programming']",pretty good introduction perl programming,Positive
python-network-data,Using Python to Access Web Data,5.0,Its one of the tough course of this specialisation. Algorithms will not be covered much in depth however implementation details are very clearly explained. You can of course read the in-depth details from the references of the research paper given in the slides.    ,Coursera,1,"['one', 'tough', 'course', 'specialisation', 'algorithm', 'covered', 'much', 'depth', 'however', 'implementation', 'detail', 'clearly', 'explained', 'course', 'read', 'depth', 'detail', 'reference', 'research', 'paper', 'given', 'slide']",one tough course specialisation algorithm covered much depth however implementation detail clearly explained course read depth detail reference research paper given slide,Positive
fundamentals-of-graphic-design,Fundamentals of Graphic Design,5.0,"Homework could be more hard.The conception is clear in the vedio, but basically, the homework is not very helpful and able to help people to gain the capability to write a program by themselves.All the math part are escaped, and I think it's necessary to have some deeper discussion in the math topics like matrix calculus.Overall it's an easy course and quite delighted to follow",Coursera,1,"['homework', 'could', 'hard', 'conception', 'clear', 'vedio', 'basically', 'homework', 'helpful', 'able', 'help', 'people', 'gain', 'capability', 'write', 'program', 'math', 'part', 'escaped', 'think', 'necessary', 'deeper', 'discussion', 'math', 'topic', 'like', 'matrix', 'calculus', 'overall', 'easy', 'course', 'quite', 'delighted', 'follow']",homework could hard conception clear vedio basically homework helpful able help people gain capability write program math part escaped think necessary deeper discussion math topic like matrix calculus overall easy course quite delighted follow,Positive
learn-korean,First Step Korean,5.0,"great content, provided basic (but detailed) introduction to business/data analysts and what the jobs entail",Coursera,1,"['great', 'content', 'provided', 'basic', 'detailed', 'introduction', 'business', 'data', 'analyst', 'job', 'entail']",great content provided basic detailed introduction business data analyst job entail,Positive
english-principles,Teach English Now! Foundational Principles,5.0,Very great course! Learned alot! ,Coursera,1,"['great', 'course', 'learned', 'alot']",great course learned alot,Positive
learn-to-program,Learn to Program: The Fundamentals,5.0,This course is meant for me. It helps me a lot because I don't have proper knowledge of tuples and dictionaries in python.,Coursera,1,"['course', 'meant', 'help', 'lot', 'proper', 'knowledge', 'tuples', 'dictionary', 'python']",course meant help lot proper knowledge tuples dictionary python,Positive
2296484,Python for Financial Analysis and Algorithmic Trading,4.0,"The teacher does a decent job of showing the coding associated with what he is making.  I would like to see some more in depth explanations of the Unreal UPROPERTIES(),  UFUNCTION(), the best practices of when to use c++, blueprints and combinations of them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['teacher', 'decent', 'job', 'showing', 'coding', 'associated', 'making', 'would', 'like', 'see', 'depth', 'explanation', 'unreal', 'uproperties', 'ufunction', 'best', 'practice', 'use', 'c', 'blueprint', 'combination']",teacher decent job showing coding associated making would like see depth explanation unreal uproperties ufunction best practice use c blueprint combination,Positive
race-cultural-diversity-american-life,Race and Cultural Diversity in American Life and History,5.0,"Very challenging, yet that's what make it's rewarding. Even though the course only takes 3 weeks, its difficulty is on par with the longer previous course. I enjoyed every problems on it!",Coursera,1,"['challenging', 'yet', 'make', 'rewarding', 'even', 'though', 'course', 'take', 'week', 'difficulty', 'par', 'longer', 'previous', 'course', 'enjoyed', 'every', 'problem']",challenging yet make rewarding even though course take week difficulty par longer previous course enjoyed every problem,Positive
american-law,An Introduction to American Law,5.0,"It is an excellent opportunity to learn more about ASD, with a variety of materials from excellent professionals and fantastic families. I do lectures about autism in Brazil and I am sure that this course has contributed to my work to be better.",Coursera,1,"['excellent', 'opportunity', 'learn', 'asd', 'variety', 'material', 'excellent', 'professional', 'fantastic', 'family', 'lecture', 'autism', 'brazil', 'sure', 'course', 'contributed', 'work', 'better']",excellent opportunity learn asd variety material excellent professional fantastic family lecture autism brazil sure course contributed work better,Positive
1426300,iOS Development: AWS Lambda Integration with Swift 4,5.0,"Short, quick and to the point.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['short', 'quick', 'point']",short quick point,Positive
1419186,The Complete Web Developer in 2019: Zero to Mastery,5.0,Loved the course! Very easy to follow. Looking forward to more courses,Udemy,1,"['loved', 'course', 'easy', 'follow', 'looking', 'forward', 'course']",loved course easy follow looking forward course,Positive
speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone",5.0,Thank you for the course!,Coursera,1,"['thank', 'course']",thank course,Positive
marketing-digital,Marketing in a Digital World,5.0,"Loved it, Professor. Thanks so much for sharing your passion for music. Took me back to that beautiful magic work of classical music.Id love to know the name of the piece used on the very last quiz, where we had to identify to which period each piece belongs...Id need the name of the first sample. Female voices singing, modern music. It was kind of Glass stuff, but not sure. Thanks!!!",Coursera,1,"['loved', 'professor', 'thanks', 'much', 'sharing', 'passion', 'music', 'took', 'back', 'beautiful', 'magic', 'work', 'classical', 'music', 'id', 'love', 'know', 'name', 'piece', 'used', 'last', 'quiz', 'identify', 'period', 'piece', 'belongs', 'id', 'need', 'name', 'first', 'sample', 'female', 'voice', 'singing', 'modern', 'music', 'kind', 'glass', 'stuff', 'sure', 'thanks']",loved professor thanks much sharing passion music took back beautiful magic work classical music id love know name piece used last quiz identify period piece belongs id need name first sample female voice singing modern music kind glass stuff sure thanks,Positive
excel-essentials,Excel Skills for Business: Essentials,5.0,Excellent Course. Next challenge to myself will be to do the programming assignment on local jupyter notebook. ,Coursera,1,"['excellent', 'course', 'next', 'challenge', 'programming', 'assignment', 'local', 'jupyter', 'notebook']",excellent course next challenge programming assignment local jupyter notebook,Positive
383576,"C# Intermediate: Classes, Interfaces and OOP",4.0,"Again a great video course. I look forward to (hopefully) Akka + Kubernetes, which would be a great addition to all of your courses. Thanks a lot Daniel.",Udemy,1,"['great', 'video', 'course', 'look', 'forward', 'hopefully', 'akka', 'kubernetes', 'would', 'great', 'addition', 'course', 'thanks', 'lot', 'daniel']",great video course look forward hopefully akka kubernetes would great addition course thanks lot daniel,Positive
1724320,JavaScript: Understanding the Weird Parts,3.0,"course is good, but author has montaneous voice made me sleepy, but i did completed it and it will be useful for me to build application, and thats what i was looking for",Udemy,0,"['course', 'good', 'author', 'montaneous', 'voice', 'made', 'sleepy', 'completed', 'useful', 'build', 'application', 'thats', 'looking']",course good author montaneous voice made sleepy completed useful build application thats looking,Positive
1000574,The Complete Developers Guide to MongoDB,4.5,a clean approach to using NLTK,Udemy,1,"['clean', 'approach', 'using', 'nltk']",clean approach using nltk,Positive
python-for-applied-data-science-ai,Python for Data Science and AI,2.0,I am working as a blogger more than 10 years. And they give me tuff time So i will Give 100% for there effort.,Coursera,-1,"['working', 'blogger', 'year', 'give', 'tuff', 'time', 'give', 'effort']",working blogger year give tuff time give effort,Positive
astro,Astronomy: Exploring Time and Space,5.0,This course has simply blown my mind and opened my eyes to the complexities of International Organizations. I have further respect to those people in the field and also want to work towards being a part of their wonderful world.,Coursera,1,"['course', 'simply', 'blown', 'mind', 'opened', 'eye', 'complexity', 'international', 'organization', 'respect', 'people', 'field', 'also', 'want', 'work', 'towards', 'part', 'wonderful', 'world']",course simply blown mind opened eye complexity international organization respect people field also want work towards part wonderful world,Positive
deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",5.0,GREAT COURSE.REALLY MOTIVATING TO LEARN.THANK YOU MR.INSTRUCTOR,Coursera,1,"['great', 'course', 'really', 'motivating', 'learn', 'thank', 'mr', 'instructor']",great course really motivating learn thank mr instructor,Positive
supply-chain-logistics,Supply Chain Logistics,4.0,There is a requirement of upgrading course to new version of MatLab,Coursera,1,"['requirement', 'upgrading', 'course', 'new', 'version', 'matlab']",requirement upgrading course new version matlab,Positive
1299854,Learning Python for Data Analysis and Visualization,4.5,"Clearly understandable for non native english people, detailed sections, useful hints, all in all a good course.",Udemy,1,"['clearly', 'understandable', 'non', 'native', 'english', 'people', 'detailed', 'section', 'useful', 'hint', 'good', 'course']",clearly understandable non native english people detailed section useful hint good course,Positive
1329100,Projects in AngularJS - Learn by building 10 Projects,5.0,More hands -on required,Udemy,1,"['hand', 'required']",hand required,Positive
deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",5.0,Great explanation of deep neural network theory. Now I am much confident to implement DL. The best course ever ! Thank you ! ,Coursera,1,"['great', 'explanation', 'deep', 'neural', 'network', 'theory', 'much', 'confident', 'implement', 'dl', 'best', 'course', 'ever', 'thank']",great explanation deep neural network theory much confident implement dl best course ever thank,Positive
1063498,Selenium WebDriver Training with Java and Many Live Projects,1.0,the speaker's voice is dull and makes me to sleep.,Udemy,-1,"['speaker', 'voice', 'dull', 'make', 'sleep']",speaker voice dull make sleep,Positive
802808,The Complete Sass & SCSS Course: From Beginner to Advanced,5.0,Easy to follow and instructor is very well spoken. A great refresher and resource!,Udemy,1,"['easy', 'follow', 'instructor', 'well', 'spoken', 'great', 'refresher', 'resource']",easy follow instructor well spoken great refresher resource,Positive
analytics-business-metrics,Business Metrics for Data-Driven Companies,4.0,Must have for everybody ,Coursera,1,"['must', 'everybody']",must everybody,Positive
1223370,Beginning C++ Programming - From Beginner to Beyond,5.0,"So far the pace is too slow. Why does anyone think it's necessary to explain obvious functionality? For example, the thumbnails in the Projects tab represent your existing projects. OBVIOUSLY!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['far', 'pace', 'slow', 'anyone', 'think', 'necessary', 'explain', 'obvious', 'functionality', 'example', 'thumbnail', 'project', 'tab', 'represent', 'existing', 'project', 'obviously']",far pace slow anyone think necessary explain obvious functionality example thumbnail project tab represent existing project obviously,Positive
introduction-cybersecurity-cyber-attacks,Introduction to Cybersecurity Tools & Cyber Attacks,5.0,It is very good course it gives me new idea about data scientist ,Coursera,1,"['good', 'course', 'give', 'new', 'idea', 'data', 'scientist']",good course give new idea data scientist,Positive
philosophy,Introduction to Philosophy,4.0,"More practical information, examples and cases about conflict management and resolving certain situations will be a huge plus.",Coursera,1,"['practical', 'information', 'example', 'case', 'conflict', 'management', 'resolving', 'certain', 'situation', 'huge', 'plus']",practical information example case conflict management resolving certain situation huge plus,Positive
positive-psychiatry,Positive Psychiatry and Mental Health,5.0,Nasser,Coursera,1,['nasser'],nasser,Positive
computer-networking,The Bits and Bytes of Computer Networking,5.0,An excelente course! It explained everything from basics about Agile to managing your own Jira instance. I recommend to everyone that wants to learn about Agile and how to use Jira.,Coursera,1,"['excelente', 'course', 'explained', 'everything', 'basic', 'agile', 'managing', 'jira', 'instance', 'recommend', 'everyone', 'want', 'learn', 'agile', 'use', 'jira']",excelente course explained everything basic agile managing jira instance recommend everyone want learn agile use jira,Positive
grammar-punctuation,Grammar and Punctuation,5.0,"The lectures were engaging and relevant. I also appreciating the introduction to a multitude of theories and experiments. My only frustration was the lack of effort put in by classmates where the peer reviewed assignment was concerned. Many wrote nonsensical phrases such as ""abcdef"" and I felt that the peer review grading was lacking critical thought.",Coursera,1,"['lecture', 'engaging', 'relevant', 'also', 'appreciating', 'introduction', 'multitude', 'theory', 'experiment', 'frustration', 'lack', 'effort', 'put', 'classmate', 'peer', 'reviewed', 'assignment', 'concerned', 'many', 'wrote', 'nonsensical', 'phrase', 'abcdef', 'felt', 'peer', 'review', 'grading', 'lacking', 'critical', 'thought']",lecture engaging relevant also appreciating introduction multitude theory experiment frustration lack effort put classmate peer reviewed assignment concerned many wrote nonsensical phrase abcdef felt peer review grading lacking critical thought,Positive
1362070,"Git Complete: The definitive, step-by-step guide to Git",5.0,"The introduction to this course is outstanding.  Very simple, clear, and concise.  It gives me a very good feeling for the topic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['introduction', 'course', 'outstanding', 'simple', 'clear', 'concise', 'give', 'good', 'feeling', 'topic']",introduction course outstanding simple clear concise give good feeling topic,Positive
modern-art-ideas,Modern Art & Ideas,5.0,"Take it, no matter where you are in life, it's never to late to realize your a life-long learner. Such is the beauty of life. ",Coursera,1,"['take', 'matter', 'life', 'never', 'late', 'realize', 'life', 'long', 'learner', 'beauty', 'life']",take matter life never late realize life long learner beauty life,Positive
decision-making,Data-driven Decision Making,5.0,Very Math!,Coursera,1,['math'],math,Positive
